"LabID","All","Fine","Broad","HI.Fine","CNMI_HIArch","CNMI_Other","CNMI_NoHybrids","STRUCTURE_strata"
"102380","All","NWHI","HIArch","Midway","HIArch","Ttru",NA,"HIArch"
"102381","All","NWHI","HIArch","Midway","HIArch","Ttru",NA,"HIArch"
"102382","All","NWHI","HIArch","Midway","HIArch","Ttru",NA,"HIArch"
"102383","All","NWHI","HIArch","Midway","HIArch","Ttru",NA,"HIArch"
"102384","All","NWHI","HIArch","Midway","HIArch","Ttru",NA,"HIArch"
"102385","All","NWHI","HIArch","Midway","HIArch","Ttru",NA,"HIArch"
"102386","All","NWHI","HIArch","Midway","HIArch","Ttru",NA,"HIArch"
"102387","All","NWHI","HIArch","Midway","HIArch","Ttru",NA,"HIArch"
"102389","All","NWHI","HIArch","Midway","HIArch","Ttru",NA,"HIArch"
"102390","All","NWHI","HIArch","Midway","HIArch","Ttru",NA,"HIArch"
"102391","All","NWHI","HIArch","Midway","HIArch","Ttru",NA,"HIArch"
"102392","All","NWHI","HIArch","Midway","HIArch","Ttru",NA,"HIArch"
"102393","All","NWHI","HIArch",NA,"HIArch","Ttru",NA,"HIArch"
"102394","All","NWHI","HIArch","Midway","HIArch","Ttru",NA,"HIArch"
"102395","All","NWHI","HIArch","Midway","HIArch","Ttru",NA,"HIArch"
"102396","All","NWHI","HIArch","Midway","HIArch","Ttru",NA,"HIArch"
"102397","All","NWHI","HIArch","Midway","HIArch","Ttru",NA,"HIArch"
"102398","All","NWHI","HIArch","Midway","HIArch","Ttru",NA,"HIArch"
"102399","All","NWHI","HIArch","Midway","HIArch","Ttru",NA,"HIArch"
"102400","All","NWHI","HIArch","Midway","HIArch","Ttru",NA,"HIArch"
"102401","All","NWHI","HIArch","Midway","HIArch","Ttru",NA,"HIArch"
"102402","All","NWHI","HIArch","Midway","HIArch","Ttru",NA,"HIArch"
"102403","All","NWHI","HIArch","Midway","HIArch","Ttru",NA,"HIArch"
"102404","All","NWHI","HIArch","Midway","HIArch","Ttru",NA,"HIArch"
"102405","All","NWHI","HIArch","Midway","HIArch","Ttru",NA,"HIArch"
"102406","All","NWHI","HIArch","Midway","HIArch","Ttru",NA,"HIArch"
"102422","All","NWHI","HIArch","FFS","HIArch","Ttru",NA,"HIArch"
"102423","All","NWHI","HIArch","FFS","HIArch","Ttru",NA,"HIArch"
"102424","All","NWHI","HIArch","FFS","HIArch","Ttru",NA,"HIArch"
"102425","All","NWHI","HIArch","FFS","HIArch","Ttru",NA,"HIArch"
"102426","All","NWHI","HIArch",NA,"HIArch","Ttru",NA,"HIArch"
"102427","All","NWHI","HIArch","NeckerIsland","HIArch","Ttru",NA,"HIArch"
"102428","All","NWHI","HIArch","NeckerIsland","HIArch","Ttru",NA,"HIArch"
"102429","All","NWHI","HIArch","NeckerIsland","HIArch","Ttru",NA,"HIArch"
"102430","All","NWHI","HIArch",NA,"HIArch","Ttru",NA,"HIArch"
"102482","All","MHI","HIArch","Oahu","HIArch","Ttru",NA,"HIArch"
"102499","All","MHI","HIArch",NA,"HIArch","Ttru",NA,"HIArch"
"103984","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"103985","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"103986","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"104020","All","MHI","HIArch",NA,"HIArch","Ttru",NA,"HIArch"
"104021","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"104022","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
